x,y,c
1.011468505859375000e+03,5.647274780273437500e+02,8.006939888000488281e-01
1.029011352539062500e+03,5.862546386718750000e+02,8.776112794876098633e-01
1.015329345703125000e+03,5.863288574218750000e+02,7.917218208312988281e-01
9.801102905273437500e+02,6.019415283203125000e+02,8.739521503448486328e-01
9.840237426757812500e+02,5.706773071289062500e+02,8.463700413703918457e-01
1.042710815429687500e+03,5.862274780273437500e+02,9.152128696441650391e-01
1.023117187500000000e+03,6.058333740234375000e+02,8.080183863639831543e-01
1.009508056640625000e+03,5.765095214843750000e+02,8.607845306396484375e-01
1.023187011718750000e+03,6.509683837890625000e+02,4.194958508014678955e-01
1.009481750488281250e+03,6.508991699218750000e+02,4.333441257476806641e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.034907226562500000e+03,6.528643188476562500e+02,4.141196012496948242e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.009526306152343750e+03,5.588524169921875000e+02,4.573416411876678467e-01
1.017286926269531250e+03,5.569545898437500000e+02,8.490359187126159668e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.030969726562500000e+03,5.588519287109375000e+02,8.319464325904846191e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
