x,y,c
2.356049804687500000e+02,5.079080505371093750e+02,1.238750815391540527e-01
2.551483612060546875e+02,5.235670776367187500e+02,7.965543270111083984e-01
2.532367858886718750e+02,5.215702514648437500e+02,6.646978855133056641e-01
2.355877227783203125e+02,5.432263183593750000e+02,2.627038061618804932e-01
2.121586151123046875e+02,5.412992553710937500e+02,2.588209807872772217e-01
2.551278533935546875e+02,5.236760253906250000e+02,8.648740053176879883e-01
2.591824645996093750e+02,5.549449462890625000e+02,8.418293595314025879e-01
2.395439147949218750e+02,5.529833984375000000e+02,8.048932552337646484e-01
2.434112701416015625e+02,5.726462402343750000e+02,6.155895590782165527e-01
2.415084838867187500e+02,5.725817260742187500e+02,5.717381834983825684e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.434968566894531250e+02,5.745314331054687500e+02,6.245556473731994629e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.356039276123046875e+02,5.020245971679687500e+02,1.599887609481811523e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.394911651611328125e+02,5.020350952148437500e+02,8.337087035179138184e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
