x,y,c
3.982308959960937500e+02,5.373123779296875000e+02,9.388774633407592773e-01
3.981383056640625000e+02,5.549428100585937500e+02,9.396868944168090820e-01
3.806057739257812500e+02,5.550069580078125000e+02,8.916712999343872070e-01
3.707955932617187500e+02,5.862321777343750000e+02,6.978993415832519531e-01
3.864363098144531250e+02,5.588419189453125000e+02,4.223050773143768311e-01
4.138896484375000000e+02,5.548289794921875000e+02,8.885601162910461426e-01
4.159474182128906250e+02,5.823392944335937500e+02,7.090416550636291504e-01
4.041081237792968750e+02,5.686750488281250000e+02,4.598560929298400879e-01
3.982005004882812500e+02,6.039734497070312500e+02,7.639381885528564453e-01
3.844857788085937500e+02,6.058837890625000000e+02,7.301276326179504395e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.118660583496093750e+02,6.039100952148437500e+02,7.332033514976501465e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.962290649414062500e+02,5.314668579101562500e+02,8.695881962776184082e-01
4.001633605957031250e+02,5.314475097656250000e+02,9.018562436103820801e-01
3.864261779785156250e+02,5.373208618164062500e+02,7.809705138206481934e-01
4.040861511230468750e+02,5.372338867187500000e+02,4.944482445716857910e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
