x,y,c
1.005550292968750000e+03,3.806050415039062500e+02,7.044905424118041992e-01
1.027130493164062500e+03,4.080187377929687500e+02,8.440548181533813477e-01
1.015339843750000000e+03,4.119349670410156250e+02,7.791000604629516602e-01
9.780206909179687500e+02,4.119036254882812500e+02,6.384956836700439453e-01
9.350567626953125000e+02,4.060330810546875000e+02,6.324171423912048340e-01
1.038820556640625000e+03,4.021423645019531250e+02,8.148675560951232910e-01
1.023148986816406250e+03,3.844317932128906250e+02,7.161833643913269043e-01
1.009473327636718750e+03,3.532330627441406250e+02,7.840636968612670898e-01
1.034939208984375000e+03,4.785355529785156250e+02,7.010197639465332031e-01
1.036858276367187500e+03,4.785304565429687500e+02,6.619583368301391602e-01
1.042764526367187500e+03,5.529005126953125000e+02,8.591313362121582031e-01
1.050603393554687500e+03,6.136903076171875000e+02,7.087351083755493164e-01
1.032971069335937500e+03,4.785216979980468750e+02,7.219457030296325684e-01
1.031053710937500000e+03,5.529124755859375000e+02,8.055821657180786133e-01
1.038866699218750000e+03,6.117213745117187500e+02,7.505744695663452148e-01
1.007434814453125000e+03,3.766091613769531250e+02,7.909182459115982056e-02
1.009475158691406250e+03,3.689233398437500000e+02,7.859222888946533203e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.027068481445312500e+03,3.708236999511718750e+02,7.431509494781494141e-01
1.027128662109375000e+03,6.137165527343750000e+02,1.346204876899719238e-01
1.023196228027343750e+03,6.176314697265625000e+02,1.818394809961318970e-01
1.038792358398437500e+03,6.175539550781250000e+02,6.182760596275329590e-01
1.056379394531250000e+03,6.156715087890625000e+02,1.192181557416915894e-01
1.056350463867187500e+03,6.156770629882812500e+02,1.313017010688781738e-01
1.050593627929687500e+03,6.176055908203125000e+02,4.857104420661926270e-01
