x,y,c
4.510740966796875000e+02,5.157729492187500000e+02,8.542898893356323242e-01
4.530893859863281250e+02,5.413024902343750000e+02,9.080993533134460449e-01
4.295307922363281250e+02,5.412094726562500000e+02,9.060205817222595215e-01
4.157453918457031250e+02,5.784128417968750000e+02,9.193876385688781738e-01
4.275937805175781250e+02,5.432496948242187500e+02,8.478168249130249023e-01
4.786051635742187500e+02,5.431964721679687500e+02,8.800760507583618164e-01
4.746048583984375000e+02,5.823687744140625000e+02,8.776031136512756348e-01
4.471795654296875000e+02,5.548751220703125000e+02,9.420809149742126465e-01
4.471498413085937500e+02,6.195180053710937500e+02,7.019073367118835449e-01
4.295741577148437500e+02,6.176345214843750000e+02,6.936550140380859375e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.628850708007812500e+02,6.195758666992187500e+02,6.786851286888122559e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.471441650390625000e+02,5.098691711425781250e+02,9.935007691383361816e-01
4.607958374023437500e+02,5.099130554199218750e+02,9.464561343193054199e-01
4.412718200683593750e+02,5.099543762207031250e+02,8.601292967796325684e-01
4.648043212890625000e+02,5.118709716796875000e+02,8.325315713882446289e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
