x,y,c
3.394521789550781250e+02,3.943137512207031250e+02,1.891210377216339111e-01
3.394495544433593750e+02,4.119231567382812500e+02,4.881340265274047852e-01
3.257000122070312500e+02,4.119314880371093750e+02,4.527178108692169189e-01
3.217609252929687500e+02,4.294803466796875000e+02,3.042708635330200195e-01
3.374207153320312500e+02,4.294962463378906250e+02,2.299308180809020996e-01
3.532557373046875000e+02,4.119467468261718750e+02,4.735652208328247070e-01
3.648498229980468750e+02,4.296122741699218750e+02,2.687841951847076416e-01
3.452964477539062500e+02,4.276097717285156250e+02,1.813976168632507324e-01
3.394179992675781250e+02,4.471381530761718750e+02,1.735747456550598145e-01
3.315737304687500000e+02,4.452751464843750000e+02,1.747777760028839111e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.512140808105468750e+02,4.471567077636718750e+02,1.803310811519622803e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.375176086425781250e+02,3.884260253906250000e+02,1.658422350883483887e-01
3.414320678710937500e+02,3.884353637695312500e+02,1.539683192968368530e-01
3.355097961425781250e+02,3.942840576171875000e+02,1.401259601116180420e-01
3.511221923828125000e+02,3.923064575195312500e+02,1.254651099443435669e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
