x,y,c
1.264122192382812500e+03,4.294620971679687500e+02,7.091092467308044434e-01
1.270025390625000000e+03,4.569863891601562500e+02,3.300690054893493652e-01
1.246443725585937500e+03,4.608838195800781250e+02,5.242473483085632324e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.279889404296875000e+03,4.510684814453125000e+02,1.121081113815307617e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.262090332031250000e+03,4.217371520996093750e+02,6.930494904518127441e-01
1.279826904296875000e+03,4.216907958984375000e+02,5.608459115028381348e-01
1.258182861328125000e+03,4.295177307128906250e+02,4.244161248207092285e-01
1.279871826171875000e+03,4.294410400390625000e+02,2.740297615528106689e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
