x,y,c
9.956942138671875000e+02,4.138464965820312500e+02,3.635151386260986328e-01
9.955978393554687500e+02,4.158854980468750000e+02,7.673928737640380859e-01
9.939392089843750000e+02,4.159080505371093750e+02,8.000867366790771484e-01
9.938417358398437500e+02,4.294737243652343750e+02,6.601406335830688477e-01
9.939136962890625000e+02,4.334585876464843750e+02,4.066330492496490479e-01
9.956961669921875000e+02,4.159331665039062500e+02,5.731037855148315430e-01
9.957714233398437500e+02,4.276127319335937500e+02,2.312031090259552002e-01
9.957415161132812500e+02,4.295373229980468750e+02,1.484107226133346558e-01
9.957114257812500000e+02,4.316570129394531250e+02,4.242083728313446045e-01
9.955917358398437500e+02,4.335111083984375000e+02,4.622627496719360352e-01
9.955955200195312500e+02,4.354955444335937500e+02,7.962252944707870483e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.958140258789062500e+02,4.316420898437500000e+02,3.578249812126159668e-01
9.956381835937500000e+02,4.335726928710937500e+02,5.546748265624046326e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.957082519531250000e+02,4.137252197265625000e+02,3.591500520706176758e-01
9.956636962890625000e+02,4.138434753417968750e+02,2.393578290939331055e-01
9.955742797851562500e+02,4.137794799804687500e+02,4.788542985916137695e-01
9.955881347656250000e+02,4.139927673339843750e+02,9.807685017585754395e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
