x,y,c
4.785245666503906250e+02,4.139301147460937500e+02,9.714000821113586426e-01
4.784980163574218750e+02,4.432446289062500000e+02,8.922654986381530762e-01
4.510789184570312500e+02,4.451812133789062500e+02,8.078710436820983887e-01
4.471397705078125000e+02,4.784897460937500000e+02,5.163102149963378906e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.059094238281250000e+02,4.354078979492187500e+02,8.570505976676940918e-01
5.177058715820312500e+02,4.726772460937500000e+02,7.523232698440551758e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.902255859375000000e+02,4.961361083984375000e+02,2.730522155761718750e-01
4.746250915527343750e+02,4.962187500000000000e+02,2.980197370052337646e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.059364318847656250e+02,4.942372436523437500e+02,3.092699348926544189e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.745699157714843750e+02,4.119268798828125000e+02,8.446285724639892578e-01
4.805620727539062500e+02,4.099571838378906250e+02,8.152257204055786133e-01
4.627886352539062500e+02,4.158176574707031250e+02,7.186684608459472656e-01
4.902795410156250000e+02,4.137636413574218750e+02,3.006843924522399902e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
