x,y,c
1.203413818359375000e+03,2.061874389648437500e+02,8.116479516029357910e-01
1.203403442382812500e+03,2.258869018554687500e+02,8.435541391372680664e-01
1.181916992187500000e+03,2.277034149169921875e+02,8.421674966812133789e-01
1.174061279296875000e+03,2.590951538085937500e+02,6.188221573829650879e-01
1.199468261718750000e+03,2.747461242675781250e+02,2.044394463300704956e-01
1.228770996093750000e+03,2.277476196289062500e+02,7.616692185401916504e-01
1.244477050781250000e+03,2.591172790527343750e+02,6.912696361541748047e-01
1.228892333984375000e+03,2.728595275878906250e+02,5.234901309013366699e-01
1.213075439453125000e+03,2.747151794433593750e+02,2.794339954853057861e-01
1.183940673828125000e+03,2.728770751953125000e+02,2.221147716045379639e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.226827392578125000e+03,2.747219848632812500e+02,2.800387740135192871e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.199522094726562500e+03,1.984013061523437500e+02,8.559380173683166504e-01
1.211218994140625000e+03,1.984036560058593750e+02,8.586269021034240723e-01
1.195569458007812500e+03,2.022762908935546875e+02,6.696914434432983398e-01
1.215188720703125000e+03,2.003300323486328125e+02,7.916610240936279297e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
