x,y,c
1050.5372212727864,808.7019856770834,0.0
1062.052001953125,745.091064453125,0.7658362984657286
1038.4999186197917,742.1924031575521,0.5822152495384216
1061.9500732421875,810.8671671549482,0.8517013192176819
1048.4173177083333,881.5655924479166,0.9626939296722414
1088.5206705729167,746.1591796875,0.7685940861701965
1147.4177652994792,833.4808349609375,0.8753528594970702
1163.0950927734375,923.6322021484376,0.8702098727226258
1090.6858367919922,622.4587046305338,0.0
1088.4938659667969,639.8637517293295,0.0
1117.5291748046875,563.8659655253092,0.0
1065.0838470458984,506.10933685302734,0.0
1087.0142923990886,611.9502182006836,0.0
1129.2615203857422,537.9696083068848,0.0
1062.4692052205403,447.39018567403156,0.0
1046.015206654867,702.2000079154968,0.0
1032.2162857055664,791.4456942876178,0.0
1086.5184326171877,724.5440063476562,0.0
1048.2991536458333,783.336669921875,0.4842421114444732
1139.608767191569,947.4053891499835,0.0
1145.9072367350261,948.2089805603027,0.0
1049.9756698608398,442.37281290690106,0.0
1102.1289520263672,920.7073186238607,0.0
1103.789566040039,919.0084457397462,0.0
1056.2728322347004,487.4539260864258,0.0
