x,y,c
912.8108139038086,602.0049006144205,0.0
915.1692962646484,578.1216125488281,0.462594747543335
897.4942169189453,567.8283081054688,0.26611500978469843
904.1189422607422,634.7996978759767,0.20916181802749634
920.555165608724,707.3406982421875,0.0
932.7937622070312,581.003646850586,0.4398178458213806
952.5798492431641,645.7891235351562,0.459448367357254
942.29345703125,717.9958038330078,0.6056904196739197
1009.1009928385416,547.9492594401041,0.5934706926345825
1006.0460408528646,550.9370320638021,0.4937517046928406
978.6290893554688,654.8966064453125,0.4618646502494812
991.3562215169269,768.6084798177084,0.3571375906467438
1003.1914265950519,538.1508992513021,0.574851930141449
959.0064086914062,637.2089029947916,0.38986605405807495
956.9876505533854,784.3186645507812,0.4347717463970184
912.8584620157877,596.1655705769857,0.0
879.3809763590494,590.7672818501791,0.0
1041.198303222656,737.4374186197919,0.0
852.9922637939453,577.0229253768921,0.11042923480272293
926.6928507486979,829.5721232096354,0.22641147673130035
944.315673828125,829.5643513997396,0.2465484440326691
956.0885213216146,789.25830078125,0.3905022144317626
974.7208251953125,810.8835652669271,0.14613772928714752
967.8516031901041,804.9914143880209,0.18296082317829127
993.3882446289062,772.6187744140625,0.3576347231864929
