x,y,c
3.978567810058593750e+02,2.536035003662109375e+02,9.245354533195495605e-01
4.213897399902343750e+02,3.065795898437500000e+02,8.807039856910705566e-01
4.067108764648437500e+02,3.065910949707031250e+02,8.492696285247802734e-01
4.007889404296875000e+02,3.655676574707031250e+02,6.861548423767089844e-01
3.684202575683593750e+02,3.831212158203125000e+02,8.845729231834411621e-01
4.361914978027343750e+02,3.066034240722656250e+02,9.223944544792175293e-01
4.391557312011718750e+02,3.654961853027343750e+02,9.550634026527404785e-01
4.097162475585937500e+02,4.036507263183593750e+02,9.208335876464843750e-01
4.126316833496093750e+02,4.184078674316406250e+02,8.750724792480468750e-01
4.007507324218750000e+02,4.183873291015625000e+02,8.233950734138488770e-01
4.213456726074218750e+02,5.037394409179687500e+02,8.907921314239501953e-01
4.390150146484375000e+02,5.773856811523437500e+02,9.179145097732543945e-01
4.273248596191406250e+02,4.184114990234375000e+02,8.751507997512817383e-01
4.449390258789062500e+02,5.037661132812500000e+02,9.049642086029052734e-01
4.656112060546875000e+02,5.890681762695312500e+02,8.915622234344482422e-01
3.977926635742187500e+02,2.477324066162109375e+02,3.978068530559539795e-01
4.095075378417968750e+02,2.477150726318359375e+02,9.697706699371337891e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.330408630371093750e+02,2.537155609130859375e+02,9.272514581680297852e-01
4.360465698242187500e+02,6.038314819335937500e+02,8.380349278450012207e-01
4.478968200683593750e+02,6.067379760742187500e+02,7.874503135681152344e-01
4.744322509765625000e+02,5.951156616210937500e+02,8.353147506713867188e-01
4.096600952148437500e+02,5.949384765625000000e+02,7.722566127777099609e-01
4.126037292480468750e+02,5.862036743164062500e+02,6.976549625396728516e-01
4.478919677734375000e+02,5.832185058593750000e+02,6.369277238845825195e-01
